Date,MarketID,CommodityID,Price,PricePerKg,PricePerLitre,UsdPrice,Unit,PriceType
2006-05-15,187,262,51.0,51.0,,0.71,KG,Retail
2006-05-15,190,67,22.0,22.0,,0.31,KG,Retail
2006-05-15,184,51,17.71,17.71,,0.25,KG,Wholesale
2006-05-15,184,67,1624.76,18.052888888888887,,22.66,90 KG,Wholesale
2006-05-15,184,148,1624.99,32.4998,,22.66,50 KG,Wholesale
2006-05-15,184,65,2014.29,22.381,,28.09,90 KG,Wholesale
2006-05-15,184,472,25.0,,50.0,0.35,500 ML,Retail
2006-05-15,184,96,120.0,,120.0,1.67,L,Retail
2006-05-15,184,262,4505.0,50.05555555555556,,62.83,90 KG,Wholesale
2006-05-15,189,67,25.0,25.0,,0.35,KG,Retail
2006-05-15,186,148,1111.1,22.221999999999998,,15.5,50 KG,Wholesale
2006-05-15,186,65,1400.0,15.555555555555555,,19.53,90 KG,Wholesale
2006-05-15,186,50,48.09,48.09,,0.67,KG,Wholesale
2006-05-15,185,51,15.58,15.58,,0.22,KG,Wholesale
2006-05-15,185,67,1445.26,16.058444444444444,,20.16,90 KG,Wholesale
2006-05-15,185,148,690.05,13.800999999999998,,9.62,50 KG,Wholesale
2006-05-15,185,65,1031.58,11.462,,14.39,90 KG,Wholesale
2006-05-15,185,50,53.6,53.6,,0.75,KG,Wholesale
2006-05-15,185,262,3311.0,36.78888888888889,,46.18,90 KG,Wholesale
2006-06-15,191,51,20.1,20.1,,0.27,KG,Wholesale
2006-06-15,191,67,1814.75,20.163888888888888,,24.67,90 KG,Wholesale
2006-06-15,191,50,28.23,28.23,,0.38,KG,Wholesale
2006-06-15,187,67,22.0,22.0,,0.3,KG,Retail
2006-06-15,187,262,53.0,53.0,,0.72,KG,Retail
2006-06-15,190,67,20.0,20.0,,0.27,KG,Retail
2006-06-15,184,55,26.0,65.0,,0.35,400 G,Retail
2006-06-15,184,51,16.96,16.96,,0.23,KG,Wholesale
2006-06-15,184,148,861.1,17.222,,11.71,50 KG,Wholesale
2006-06-15,184,472,22.0,,44.0,0.3,500 ML,Retail
2006-06-15,184,50,33.07,33.07,,0.45,KG,Wholesale
2006-06-15,184,262,3017.0,33.522222222222226,,41.02,90 KG,Wholesale
2006-06-15,189,67,22.0,22.0,,0.3,KG,Retail
2006-06-15,186,51,19.3,19.3,,0.26,KG,Wholesale
2006-06-15,186,148,586.11,11.7222,,7.97,50 KG,Wholesale
2006-06-15,186,50,38.51,38.51,,0.52,KG,Wholesale
2006-06-15,186,262,3340.0,37.111111111111114,,45.41,90 KG,Wholesale
2006-06-15,185,65,1322.22,14.691333333333334,,17.98,90 KG,Wholesale
2006-06-15,185,50,46.06,46.06,,0.63,KG,Wholesale
2006-07-15,191,67,1695.0,18.833333333333332,,23.05,90 KG,Wholesale
2006-07-15,191,262,2750.0,30.555555555555557,,37.4,90 KG,Wholesale
2006-07-15,187,67,22.0,22.0,,0.3,KG,Retail
2006-07-15,187,262,51.0,51.0,,0.69,KG,Retail
2006-07-15,184,55,26.0,65.0,,0.35,400 G,Retail
2006-07-15,184,51,18.61,18.61,,0.25,KG,Wholesale
2006-07-15,184,67,1690.67,18.785222222222224,,22.99,90 KG,Wholesale
2006-07-15,184,148,662.22,13.2444,,9.01,50 KG,Wholesale
2006-07-15,184,65,1680.0,18.666666666666668,,22.85,90 KG,Wholesale
2006-07-15,184,472,22.0,,44.0,0.3,500 ML,Retail
2006-07-15,184,96,115.0,,115.0,1.56,L,Retail
2006-07-15,184,50,30.3,30.3,,0.41,KG,Wholesale
2006-07-15,184,262,2760.0,30.666666666666668,,37.53,90 KG,Wholesale
2006-07-15,189,67,23.0,23.0,,0.31,KG,Retail
2006-07-15,186,67,1533.33,17.037,,20.85,90 KG,Wholesale
2006-07-15,186,148,455.55,9.111,,6.2,50 KG,Wholesale
2006-07-15,186,65,1450.0,16.11111111111111,,19.72,90 KG,Wholesale
2006-07-15,186,50,34.77,34.77,,0.47,KG,Wholesale
2006-07-15,186,262,3200.0,35.55555555555556,,43.52,90 KG,Wholesale
2006-07-15,188,67,26.0,26.0,,0.35,KG,Retail
2006-07-15,185,67,1550.0,17.22222222222222,,21.08,90 KG,Wholesale
2006-07-15,185,65,1000.0,11.11111111111111,,13.6,90 KG,Wholesale
2006-07-15,185,50,41.43,41.43,,0.56,KG,Wholesale
2006-07-15,185,262,2260.0,25.11111111111111,,30.73,90 KG,Wholesale
2006-08-15,191,51,15.31,15.31,,0.21,KG,Wholesale
2006-08-15,191,50,30.59,30.59,,0.42,KG,Wholesale
2006-08-15,187,262,42.0,42.0,,0.58,KG,Retail
2006-08-15,190,67,22.0,22.0,,0.3,KG,Retail
2006-08-15,184,51,17.5,17.5,,0.24,KG,Wholesale
2006-08-15,184,148,555.55,11.110999999999999,,7.65,50 KG,Wholesale
2006-08-15,184,472,20.0,,40.0,0.28,500 ML,Retail
2006-08-15,184,96,120.0,,120.0,1.65,L,Retail
2006-08-15,184,50,30.59,30.59,,0.42,KG,Wholesale
2006-08-15,184,262,2888.0,32.08888888888889,,39.78,90 KG,Wholesale
2006-08-15,189,67,23.0,23.0,,0.32,KG,Retail
2006-08-15,186,67,1231.0,13.677777777777777,,16.96,90 KG,Wholesale
2006-08-15,186,50,30.12,30.12,,0.41,KG,Wholesale
2006-08-15,186,262,2777.0,30.855555555555554,,38.25,90 KG,Wholesale
2006-08-15,185,67,1529.5,16.994444444444444,,21.07,90 KG,Wholesale
2006-08-15,185,148,468.51,9.3702,,6.45,50 KG,Wholesale
2006-08-15,185,65,925.0,10.277777777777779,,12.74,90 KG,Wholesale
2006-08-15,185,50,29.39,29.39,,0.4,KG,Wholesale
2006-08-15,185,262,1975.0,21.944444444444443,,27.2,90 KG,Wholesale
2006-09-15,191,50,32.57,32.57,,0.44,KG,Wholesale
2006-09-15,187,67,19.0,19.0,,0.26,KG,Retail
2006-09-15,187,262,42.0,42.0,,0.57,KG,Retail
2006-09-15,190,67,20.0,20.0,,0.27,KG,Retail
2006-09-15,184,55,26.0,65.0,,0.36,400 G,Retail
2006-09-15,184,51,14.8,14.8,,0.2,KG,Wholesale
2006-09-15,184,148,582.22,11.644400000000001,,7.95,50 KG,Wholesale
2006-09-15,184,65,1905.0,21.166666666666668,,26.02,90 KG,Wholesale
2006-09-15,184,96,120.0,,120.0,1.64,L,Retail
2006-09-15,184,50,34.75,34.75,,0.47,KG,Wholesale
2006-09-15,189,67,22.0,22.0,,0.3,KG,Retail
2006-09-15,186,51,13.6,13.6,,0.19,KG,Wholesale
2006-09-15,186,50,30.74,30.74,,0.42,KG,Wholesale
2006-09-15,188,67,29.0,29.0,,0.4,KG,Retail
2006-09-15,185,51,12.53,12.53,,0.17,KG,Wholesale
2006-09-15,185,148,336.8,6.736000000000001,,4.6,50 KG,Wholesale
2006-09-15,185,65,967.5,10.75,,13.22,90 KG,Wholesale
2006-09-15,185,50,36.49,36.49,,0.5,KG,Wholesale
2006-09-15,185,262,2700.0,30.0,,36.89,90 KG,Wholesale
2006-10-15,191,51,12.49,12.49,,0.17,KG,Wholesale
2006-10-15,191,67,1133.0,12.588888888888889,,15.71,90 KG,Wholesale
2006-10-15,191,50,32.63,32.63,,0.45,KG,Wholesale
2006-10-15,190,67,21.0,21.0,,0.29,KG,Retail
2006-10-15,184,51,14.34,14.34,,0.2,KG,Wholesale
2006-10-15,184,148,658.88,13.1776,,9.14,50 KG,Wholesale
2006-10-15,184,65,2133.33,23.703666666666667,,29.58,90 KG,Wholesale
2006-10-15,184,50,35.8,35.8,,0.5,KG,Wholesale
2006-10-15,184,262,3280.0,36.44444444444444,,45.48,90 KG,Wholesale
2006-10-15,189,67,23.0,23.0,,0.32,KG,Retail
2006-10-15,186,67,1282.0,14.244444444444444,,17.78,90 KG,Wholesale
2006-10-15,186,50,30.94,30.94,,0.43,KG,Wholesale
2006-10-15,188,67,30.0,30.0,,0.42,KG,Retail
2006-10-15,185,51,11.77,11.77,,0.16,KG,Wholesale
